Date,Campaign_Name,Ad_Set_Name,Ad_Name,Spent,Impressions,Clicks,CTR,Cost_Per_User,Users,Good_Leads,Cost_Per_Good_Lead,Conversion_Rate,Performance_Score,Recommendation,Shrinkage_Applied
2025-11-09,BOF | DPA,VC & ATC_1 Day - FB,DPA,428.62,,,0.0784,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,BOF | DPA,VC & ATC_1 Day - IG,DPA,993.55,,,0.081,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,TOF | All That Grace,ARL | IGi,All that grace (1) | CI,271.36,,,0.0107,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,TOF | All That Grace,ARL | IGi,Debbie Earrings | SV,62.45,,,0.0164,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,BOF | DPA,VC & ATC_1 Day - IGi,DPA,803.23,,,0.0667,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,BOF | DPA,VC & ATC_14 Days - IGi,DPA,817.52,,,0.0307,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,BOF | DPA,VC & ATC_60 Days - IGi,DPA,854.84,,,0.0336,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,BOF | DPA,VC & ATC_180 Days - IGi,DPA,494.04,,,0.0172,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,BOF | DPA,VC & ATC_180 Days - FBi,DPA,1070.15,,,0.0216,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,MOF,MOF | DABA | ENGDi,MOF | DABA 1,1128.37,,,0.0276,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,MOF,MOF | DABA | ENGDi,MOF | DABA 2,425.91,,,0.0232,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,MOF,MOF | DABA | IGi,MOF | DABA 1,851.47,,,0.0388,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,MOF,MOF | DABA | IGi,MOF | DABA 2,495.52,,,0.0202,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,MOF,MOF | HYDi,RV | CC,276.65,,,0.0061,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,TOF | Story/Reel,TRL | IGi | ST,Ella Rings I SI,464.87,,,0.0199,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,TOF | Story/Reel,TRL | IGi | ST,Raphsody I SI,459.19,,,0.0103,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,TOF | Story/Reel,TRL | IGi | ST,Sapphires I SI,902.62,,,0.0148,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,TOF | India Modern,TOF | Mumbai | TIFFi,DABA – BS /TP 2,173.27,,,0.0139,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,TOF | India Modern,TOF | Mumbai | TIFFi,DABA – BS /TP 1,896.71,,,0.0119,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,TOF | India Modern,TOF | Bangalore | TIFFi,DABA – BS /TP 2,15.39,,,0.005,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,TOF | India Modern,TOF | Bangalore | TIFFi,DABA – BS /TP 1,730.24,,,0.0122,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,TOF | India Modern,TOF | Delhi | TIFFi,DABA – BS /TP 2,161.81,,,0.0153,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,TOF | India Modern,TOF | Delhi | TIFFi,DABA – BS /TP 1,854.09,,,0.0133,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,TOF | AND,TOF | Delhi | TRLa,DABA – ALL,1551.85,,,0.004,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,TOF | AND,TOF | Mumbai | TRLa,DABA – ALL,1535.32,,,0.0027,0,0,0,0,0,0,Pause/Fix,false
2025-11-09,TOF | AND,TOF | Bangalore | TRLa,DABA – ALL,1286.72,,,0.0026,0,0,0,0,0,0,Pause/Fix,false
