"Day","UTM campaign","UTM term","UTM content","Landing page URL","Online store visitors","Sessions that completed checkout","Sessions that reached checkout","Sessions with cart additions","Average session duration","Pageviews"
"2025-11-10","TOF | ALL","T1 - TRLi - FEED","DABA – ALL","https://vibewithmoi.in/products/amalfi-gold-diamond-tanzanite-and-blue-topaz-cocktail-ring?variant=40729419481151&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T1+-+TRLi+-+FEED&placement=Instagram_Explore&utm_id=120231904201750313_v2_s17_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAaspdspCkklzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaeIS2JYywY7RGTwO6pgWjukuOXovNX8yfEYZtsqxxl4xm9lA0V5Pi2_Y7k4Eg_aem_jlezv-FbPBm2GhCcOQxO5g&campaign_id=120204934414040313&ad_id=120231904201740313",1,0,0,0,0,2
"2025-11-10","BOF | DPA","VC & ATC_180 Days - FBi","DPA","https://vibewithmoi.in/products/kate-gold-and-diamond-engagement-ring?variant=39660292702271&utm_source=fb&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_180+Days+-+FBi&placement=Facebook_Mobile_Feed&utm_id=120224913158120313_v2_s17_e314&fbclid=IwQ0xDSwN-5apleHRuA2FlbQEwAGFkaWQBqymTQE2fSXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5aTTn7DtEgjYiA4TPQT20e4YatGurgQHerauWQQwlESBS-HZPebaXDrcelgw_aem_ZCJvz60G2ooo4uu7tJ60BQ&campaign_id=120224750628680313&ad_id=120224913158110313",1,0,0,0,2,3
"2025-11-10","TOF | AND","TOF | Delhi | TRLa","DABA – ALL","https://vibewithmoi.in/products/camille-gold-diamond-and-red-enamel-earrings?variant=40984729157695&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+AND&utm_content=DABA+%E2%80%93+ALL&utm_term=TOF+%7C+Delhi+%7C+TRLa&placement=Instagram_Feed&utm_id=120230914825710313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAaspdsbDy8lzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAac50yHYxYQ6ZpEB4VI67sIaoCcDMpZC2gXX9hgTEqRbZGhnyVTVZfuXhxBTog_aem_MW1ZtXrjpfFWq9A14_MvkA&campaign_id=120230914825700313&ad_id=120230914825800313",1,0,0,0,0,1
"2025-11-10","TOF | AND","TOF | Delhi | TRLa","DABA – ALL","https://vibewithmoi.in/products/crimson-eva-gold-diamond-and-red-enamel-earrings?variant=40194928672831&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+AND&utm_content=DABA+%E2%80%93+ALL&utm_term=TOF+%7C+Delhi+%7C+TRLa&placement=Instagram_Feed&utm_id=120230914825710313_v2_s17_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAaspdsbDy8lzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAacumdyppmKY3K7N2O9fExmLrwQkFcF3tbcVlKsnQFYo5jcje7yXrsnY0MSUqA_aem_iPlErcv2h32o38NYNbE49w&campaign_id=120230914825700313&ad_id=120230914825800313",1,0,0,0,0,1
"2025-11-10","TOF | India Modern","TOF | Delhi | TIFFi","DABA – BS /TP 2","https://vibewithmoi.in/products/ira-diamond-and-pearl-ring?variant=39669278441535&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+India+Modern&utm_content=DABA+%E2%80%93+BS+%2FTP+2&utm_term=TOF+%7C+Delhi+%7C+TIFFi&placement=Instagram_Feed&utm_id=120228725520410313_v2_s10_e7408&fbclid=PAZXh0bgNhZW0BMABhZGlkAaspiDPmbLlzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAac1FC-k4zESgM3gImpML1Qwdmm9ejyDIcDF3ICMiAi5qfFnD1rgmqgguiFVGg_aem_lsNHGL_YQ_9Ru74bXJWRWA&campaign_id=120228725469310313&ad_id=120228726654980313",1,0,0,0,35,2
"2025-11-10","TOF | KHB","T1 - TRLi - KHB 25 - FEED DABA","KHB 25 I FEED DABA","https://vibewithmoi.in/products/sana-bracelet-with-uncut-diamonds-emeralds-pearls-cats-eye-and-enamel-detailing?variant=42424112513087&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+KHB&utm_content=KHB+25+I+FEED+DABA&utm_term=T1+-+TRLi+-+KHB+25+-+FEED+DABA&placement=Instagram_Feed&utm_id=120235579401600313_v2_s06_e7250&fbclid=PAZXh0bgNhZW0BMABhZGlkAaspn16vN4lzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaeOjuATNZUcznGsBHfyEtinqKnhtCUVO46JfwnxGWW7YJ7OPQFh5l_uc_F6QQ_aem_zdxy9WUrk0vuU1hbA36Lvg&campaign_id=120235579401470313&ad_id=120235579401520313",1,0,0,0,119,7
"2025-11-10","bof_yt_all_products-22942055261",,"Gold Cognac Quart and Diamond Earrings - Vienna Drop Earrings by Moi","https://vibewithmoi.in/products/vienna-gold-diamond-and-cognac-quart-drop-earrings?variant=40457078767679&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_campaign=sag_organic&utm_content=Gold+Cognac+Quart+and+Diamond+Earrings+-+Vienna+Drop+Earrings+by+Moi&utm_source=google&utm_medium=cpc&utm_campaign=bof_yt_all_products-22942055261&gad_source=2&gad_campaignid=22942055261&gclid=CjwKCAiAt8bIBhBpEiwAzH1w6cq5UMcKqN59mtTXrgUP1GZehmo830LRlyn2wi3z9PdsQVl3PQqlJhoCxy8QAvD_BwE",1,0,0,0,0,1
"2025-11-10","BOF | DPA","VC & ATC_14 Days - IG","DPA","https://vibewithmoi.in/products/michelle-gold-and-diamond-ring?variant=39431752974399&utm_source=ig&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_14+Days+-+IG&placement=Instagram_Feed&utm_id=23856507181190312_v2_s17_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasplXl4GqlzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaeu07dhP8FAlUf1GgNq9REo_hz123ME4b0GlL2HFJNj5msK2rJNPN4WsvOjow_aem_JXpJSzZtPAkIMIqn_uGcog&campaign_id=23856507113650312&ad_id=23856527722090312",1,0,0,0,0,1
"2025-11-10","TOF | ALL","T1 - FB - TRLi","DABA – ALL","https://vibewithmoi.in/products/kismet-gold-diamond-and-emerald-pendant-necklace?variant=41284393074751&utm_source=fb&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T1+-+FB+-+TRLi&placement=Facebook_Mobile_Feed&fbclid=IwY2xjawN-3dZleHRuA2FlbQEwAGFkaWQBqyl2ydqouXNydGMGYXBwX2lkDzQwOTk2MjYyMzA4NTYwOQABHlImjnBOBlWBtyQsda48i-1tDXzIxpMPhNEpo2EO4ahjxSQFPgL2AUzkuA06_aem_5cTxE4IkGBGtWkLqUJBTKw&campaign_id=120204934414040313&ad_id=120231853434470313&utm_id=120231853434480313_v2_s17_e314",1,0,0,0,0,1
"2025-11-10","TOF | India Modern","TOF | Delhi | TIFFi","DABA – BS /TP 2","https://vibewithmoi.in/products/nizam-emerald-and-ruby-ring?variant=39484918038591&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+India+Modern&utm_content=DABA+%E2%80%93+BS+%2FTP+2&utm_term=TOF+%7C+Delhi+%7C+TIFFi&placement=Instagram_Reels&utm_id=120228725520410313_v2_s17_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAaspiDPmbLlzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaezSchHUcp3xHGUcMGnBg9MsQrUSQvF0y_HwIJs1GTHEDGrFV04JToPeVstAg_aem_hyAb74RTt2pZQGg9GIltLg&campaign_id=120228725469310313&ad_id=120228726654980313",1,0,0,0,5,2
