"Campaign name","Ad set name","Amount spent (INR)","CPM (cost per 1,000 impressions)","CTR (link click-through rate)","Ad set delivery","Reporting starts","Reporting ends"
"TOF | ALL","T1 - TRLi - FEED",3753.37,63.13065563,1.14542335,active,2025-09-29,2025-09-29
"TOF | Story/Reel","T1 | TRL | IGi | RL",3103.23,47.48630451,0.46518745,active,2025-09-29,2025-09-29
"TOF | ALL","T2 -  TRLi",2861.8,44.56105384,0.82526237,active,2025-09-29,2025-09-29
"TOF | ALL","IND - TRLi",2000.4,24.19594799,0.76322951,active,2025-09-29,2025-09-29
"TOF | CUSTOM | AUTO","T1 - INT JWLi",1541.48,43.70637103,0.76270946,active,2025-09-29,2025-09-29
"TOF | ALL","T1 - FB - TRLi",1531.85,33.56817285,1.17018013,active,2025-09-29,2025-09-29
"TOF | Story/Reel","TRL | IGi | ST",1390.99,197.443577,1.66075231,active,2025-09-29,2025-09-29
MOF,"MOF | DABA | ENGDi",1376.64,148.12136862,3.04497525,active,2025-09-29,2025-09-29
MOF,"MOF | DABA | IGi",1282.82,423.79253386,3.66699703,active,2025-09-29,2025-09-29
"Living in Moi | Mumbai | DM | Oct 2025","Mumbai - RT - IG Stories - 365 - ENGDi",1242.64,54.90632732,0.25185578,active,2025-09-29,2025-09-29
"TOF | All That Grace","ARL | IGi",1238.08,365,1.5625,active,2025-09-29,2025-09-29
"TOF | AND","TOF | Delhi | TRLa",1237.5,22.04860492,1.29351816,active,2025-09-29,2025-09-29
"TOF | AND","TOF | Mumbai | TRLa",1204.83,17.64879078,0.90233934,active,2025-09-29,2025-09-29
"Living in Moi | Mumbai | DM | Oct 2025","Mumbai - RT - IG Stories - 60",1187.3,209.21585903,0.44052863,active,2025-09-29,2025-09-29
"BOF | DPA","VC & ATC_1 Day - IG",1034.25,300.13058619,8.06732443,active,2025-09-29,2025-09-29
"Living in Moi | Mumbai | DM | Oct 2025","Mumbai - RT - IG Feed - 60",1014.23,102.89438977,0.27391701,active,2025-09-29,2025-09-29
"BOF | DPA","VC & ATC_180 Days - FBi",1005.32,90.63469167,3.29065994,active,2025-09-29,2025-09-29
"BOF | DPA","VC & ATC_14 Days - IG",995.46,104.41157961,5.90518146,active,2025-09-29,2025-09-29
"TOF | 80k","T1 - LUXEi",957.25,158.77425775,1.95720683,active,2025-09-29,2025-09-29
"BOF | DPA","VC & ATC_60 Days - IG",950.77,92.20929105,3.83086025,active,2025-09-29,2025-09-29
"Living in Moi | Mumbai | DM | Oct 2025","Mumbai - RT - IG Feed- 365 - ENGDi",915.29,37.44436262,0.10227459,active,2025-09-29,2025-09-29
"TOF | CUSTOM | AUTO","T2 - INT JWLi",898.27,28.87121139,0.66210266,active,2025-09-29,2025-09-29
"BOF | DPA","VC & ATC_1 Day - IGi",866.71,365.23809524,5.18331226,active,2025-09-29,2025-09-29
"Living in Moi | Mumbai | WhatsApp | Oct 2025","Mumbai - RT - IG Feed- 365 - ENGDi",856.33,238.5984954,0.1950404,active,2025-09-29,2025-09-29
