"Day","UTM campaign","UTM term","Landing page URL","Online store visitors","Sessions that completed checkout","Sessions that reached checkout","Sessions with cart additions","Average session duration","Pageviews"
"2025-09-29","BOF | DPA","VC & ATC_60 Days - IG","https://vibewithmoi.in/products/shakti-gold-diamond-and-gemstone-necklace?variant=39999401787455&utm_source=ig&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_60+Days+-+IG&placement=Instagram_Feed&utm_id=23856507113650312_v2_s09_e7382&fbclid=PAZXh0bgNhZW0BMABhZGlkAasnlFCowokBp6qKbve3NbGNdnWHurjGlMSapI9LVnvpi4PH7-TbAb1As06dS-sj4Kmh6mru_aem_OVGTqTDb7tCKGNjSFRS73w&campaign_id=23856507113650312&ad_id=23856527643200312",1,0,0,0,0,1
"2025-09-29","TOF | AND","TOF | Mumbai | TRLa","https://vibewithmoi.in/products/roma-gold-silver-and-uncut-diamond-opera-necklace?variant=40196024074303&utm_source=ig&utm_medium=paid&utm_campaign=TOF%20|%20AND&utm_content=DABA%20%E2%80%93%20ALL&utm_term=TOF%20|%20Mumbai%20|%20TRLa&placement=Instagram_Feed&utm_id=120230914825700313_v2_s10&fbclid=PAYW9leANHj8ZleHRuA2FlbQEwAGFkaWQBqyY9kPblSQGn_Uda-4ZF0Uv9ubmBhnxkDSuSEScw3Y_WlzANRSFr7-rrCbn-WtO6OhKs3VM_aem_cSkcSnwzvtA09TxRu3q-Jw&campaign_id=120230914825700313&ad_id=120230916336950313",1,0,0,0,0,1
"2025-09-29",,,"https://vibewithmoi.in/pages/search?q=",1,0,0,0,0,1
"2025-09-29","TOF | ALL","T1 - TRLi - FEED","https://vibewithmoi.in/products/venice-gold-morganite-diamond-ring?variant=39807323897919&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T1+-+TRLi+-+FEED&placement=Instagram_Feed&utm_id=120204934414040313_v2_s10_e7284&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmR7SKXSkBpwCKEQkIUzRrdrZsH2WoUYO0Wgld_HWu5svm_1DMIrCF2kqYe9o2J9EICOO3_aem_R14IdmxHpaOeWdiK-E4aQw&campaign_id=120204934414040313&ad_id=120231904201740313",1,0,0,0,0,1
"2025-09-29","TOF | ALL","T2 -  TRLi","https://vibewithmoi.in/products/marrakesh-gold-silver-diamond-emerald-and-blue-enamel-ear-tops?variant=40448982679615&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T2+-++TRLi&placement=Instagram_Feed&utm_id=120204934414040313_v2_s65_e14_i20250928&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmR7UbK3kBpx1X9y8H0M89EeMAnOqPzCEV4UmQ4Fck2OhM1eAid_UVuSD26F8v9HNPyhi3_aem_TMIl-NQf7OW7aD4RnQ853A&campaign_id=120204934414040313&ad_id=120231849970770313",1,0,0,0,0,1
"2025-09-29","BOF | DPA","VC & ATC_180 Days - FBi","https://vibewithmoi.in/products/adem-gold-diamond-purple-amethyst-pearl-and-green-enamel-pendant-necklace?variant=41284324458559&utm_source=fb&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_180+Days+-+FBi&placement=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasnqbLGDQkBHm-VRrfkRvEFwRq8pOSgDMxjr1gMONHULI7iPe__luWkjDUKLKcZEbGte9eK_aem_DIeKyuiqSQJfxOw5AcWANw&campaign_id=120224750628680313&ad_id=120224913158110313&utm_id=120224750628680313_v2_s06",1,0,0,0,0,1
"2025-09-29","TOF | ALL","T1 - FB - TRLi","https://vibewithmoi.in/products/elizabeth-gold-diamond-and-emerald-terahertz-bracelet?variant=40092744941631&utm_source=fb&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T1+-+FB+-+TRLi&placement=Facebook_Mobile_Feed&utm_id=120204934414040313_v2_s10_e7284&fbclid=IwZXh0bgNhZW0BMABhZGlkAasmO94MjBkBHhrzDMTGAbcLcXPOUSkXZ0XYWFfAOgSWzIxgR0mBnDrkKyhEAGL_lhXAfZJJ_aem_pI_7Utl-_h7kxtoEfUYYGw&campaign_id=120204934414040313&ad_id=120231853434470313",1,0,0,0,0,1
"2025-09-29","TOF | Story/Reel","T1 | TRL | IGi | RL","https://vibewithmoi.in/products/qutub-multi-gemstones-gold-necklace-for-women?utm_source=facebook&utm_medium=paid&utm_campaign=TOF+%7C+Story%2FReel&utm_content=Qutub+Necklace+%7C+RL&utm_term=T1+%7C+TRL+%7C+IGi+%7C+RL&placement=Instagram_Reels&utm_id=120213378493220313_v2_s08&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmSJ_DCekBp_0NzeocSA3UFat3HVtMZJ-QmCVqFpqdXny2SrbrRxItHYR0gQHAeRak8fxW_aem_cSQuDZViHQt_gqYuFP3OQw&campaign_id=120213378493220313&ad_id=120231908221020313",1,0,0,0,0,2
"2025-09-29","BOF | DPA","VC & ATC_1 Day - FB","https://vibewithmoi.in/products/naomi-gold-diamond-tourmaline-and-pearl-necklace?variant=41284395892799&utm_source=fb&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_1+Day+-+FB&placement=Facebook_Mobile_Feed&utm_id=23856507113650312_v2_s06&fbclid=IwYW9zYgNHprxleHRuA2FlbQEwAGFkaWQBqxVMUj0yyQEeX0zkLyCsb2fA86-TYNKWQtS5BWRTVoGSY2allDm2svi-YZXflIO4Ida_1oo_aem_Fm2qz1isoJIA6aviAaBh4g&campaign_id=23856507113650312&ad_id=120208891502090313",1,0,0,0,0,1
"2025-09-29","BOF | DPA","VC & ATC_14 Days - FB","https://vibewithmoi.in/products/daphne-necklace-with-malachite-bars-rose-cut-accents-and-gold-chain?variant=41992202518591&utm_source=fb&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_14+Days+-+FB&placement=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasnmjllzqkBHm8OY0cQ_QwFNZSNj-7sTQ0WQhySKMwPocDBsHqornKUabQafcmhl9sfHMR8_aem_e3QeYka4pPLuChFeOpYUNw&campaign_id=23856507113650312&ad_id=23856527722080312&utm_id=23856507113650312_v2_s07",1,0,0,0,0,1
