Daily Dashboard
"October 1, 2024 - October 26, 2025"
Day,Campaign,Campaign status,Currency code,Cost,Avg. CPM,CTR
2024-10-01,Brand-Search,Eligible,INR,6317.53,30083.48,30.00%
2024-10-01,Pmax_Rings,Paused,INR,5464.70,115.43,1.09%
2024-10-01,Pmax_Earrings,Paused,INR,1001.40,87.56,1.10%
2024-10-01,BOF-YT-ALL PRODUCTS,Removed,INR,589.17,22.43,6.35%
2024-10-01,Pmax_necklaces,Paused,INR,1760.98,103.78,0.88%
2024-10-01,DISPLAY-Remarketing,Paused,INR,511.14,53.74,2.06%
2024-10-01,TOF - Display New Customer,Paused,INR,297.21,148.01,5.83%
2024-10-02,Brand-Search,Eligible,INR,6077.84,27501.54,31.67%
2024-10-02,Pmax_Rings,Paused,INR,4616.67,128.76,0.92%
2024-10-02,Pmax_Earrings,Paused,INR,1523.56,130.41,1.36%
2024-10-02,BOF-YT-ALL PRODUCTS,Removed,INR,616.83,17.29,7.62%
2024-10-02,Pmax_necklaces,Paused,INR,2169.78,131.98,1.17%
2024-10-02,DISPLAY-Remarketing,Paused,INR,519.87,54.29,1.56%
2024-10-02,TOF - Display New Customer,Paused,INR,298.07,142.07,6.58%
2024-10-03,Brand-Search,Eligible,INR,3319.81,13718.22,27.69%
2024-10-03,Pmax_Rings,Paused,INR,4664.60,127.06,0.83%
2024-10-03,Pmax_Earrings,Paused,INR,2014.04,154.77,1.35%
2024-10-03,BOF-YT-ALL PRODUCTS,Removed,INR,616.29,15.73,7.07%
2024-10-03,Pmax_necklaces,Paused,INR,2211.76,141.11,0.77%
2024-10-03,DISPLAY-Remarketing,Paused,INR,525.36,47.66,1.62%
2024-10-03,TOF - Display New Customer,Paused,INR,296.19,79.19,3.34%
2024-10-04,Brand-Search,Eligible,INR,6860.62,29959.02,41.48%
2024-10-04,Pmax_Rings,Paused,INR,5021.52,164.13,0.86%
2024-10-04,Pmax_Earrings,Paused,INR,3458.56,217.63,1.62%
2024-10-04,BOF-YT-ALL PRODUCTS,Removed,INR,618.66,23.65,6.39%
2024-10-04,Pmax_necklaces,Paused,INR,1966.16,127.13,1.09%
2024-10-04,DISPLAY-Remarketing,Paused,INR,514.83,45.43,1.69%
2024-10-04,TOF - Display New Customer,Paused,INR,281.61,87.13,3.47%
2024-10-05,Brand-Search,Eligible,INR,2616.99,13559.55,36.27%
2024-10-05,Pmax_Rings,Paused,INR,4995.82,129.47,0.84%
2024-10-05,Pmax_Earrings,Paused,INR,2211.59,122.84,1.53%
2024-10-05,BOF-YT-ALL PRODUCTS,Removed,INR,614.01,23.01,6.47%
2024-10-05,Pmax_necklaces,Paused,INR,2256.51,133.54,1.11%
2024-10-05,DISPLAY-Remarketing,Paused,INR,517.44,74.94,1.49%
2024-10-05,TOF - Display New Customer,Paused,INR,330.99,116.09,4.84%
2024-10-06,Brand-Search,Eligible,INR,4374.75,24856.53,35.80%
2024-10-06,Pmax_Rings,Paused,INR,5104.56,143.38,1.03%
2024-10-06,Pmax_Earrings,Paused,INR,2487.95,143.41,1.63%
2024-10-06,BOF-YT-ALL PRODUCTS,Removed,INR,618.56,25.13,5.71%
2024-10-06,Pmax_necklaces,Paused,INR,1634.78,150.91,0.93%
2024-10-06,DISPLAY-Remarketing,Paused,INR,531.15,60.51,1.95%
2024-10-06,TOF - Display New Customer,Paused,INR,306.04,76.13,3.81%
2024-10-07,Brand-Search,Eligible,INR,3853.82,26949.79,35.66%
2024-10-07,Pmax_Rings,Paused,INR,3436.72,131.32,1.01%
2024-10-07,Pmax_Earrings,Paused,INR,1582.58,98.25,1.45%
2024-10-07,BOF-YT-ALL PRODUCTS,Removed,INR,605.50,28.80,7.34%
2024-10-07,Pmax_necklaces,Paused,INR,1495.95,120.76,1.07%
2024-10-07,DISPLAY-Remarketing,Paused,INR,432.09,59.42,1.65%
2024-10-07,TOF - Display New Customer,Paused,INR,300.16,189.61,7.96%
2024-10-08,Brand-Search,Eligible,INR,5548.96,28456.22,33.33%
2024-10-08,Pmax_Rings,Paused,INR,3330.12,153.61,0.92%
2024-10-08,Pmax_Earrings,Paused,INR,2014.24,141.56,1.64%
2024-10-08,BOF-YT-ALL PRODUCTS,Removed,INR,604.16,34.22,6.49%
2024-10-08,Pmax_necklaces,Paused,INR,2867.18,119.04,1.40%
2024-10-08,DISPLAY-Remarketing,Paused,INR,516.89,52.79,2.05%
2024-10-08,TOF - Display New Customer,Paused,INR,300.25,210.85,9.83%
