Day,"Campaign name","Ad set name","Ad name","Amount spent (INR)","CPM (cost per 1,000 impressions)","CTR (link click-through rate)","Ad set delivery","Reporting starts","Reporting ends"
2025-10-27,"BOF | DPA","VC & ATC_1 Day - FB",DPA,554.91,307.25913621,6.86600221,active,2025-10-27,2025-10-27
2025-10-27,"TOF | Story/Reel","T1 | TRL | IGi | RL","Ira Earrings | RL",154.24,47.66378245,0.37082818,active,2025-10-27,2025-10-27
2025-10-27,"TOF | New Arrivals","T1 - TRLi - ST SI","Green Room I ST SI 04",137.53,67.81558185,0.39447732,active,2025-10-27,2025-10-27
2025-10-27,"TOF | 80k","T1 - LUXEi","80k DABA | Rings",102.7,383.20895522,6.71641791,active,2025-10-27,2025-10-27
2025-10-27,"TOF | 80k","T1 - LUXEi","80k DABA | Earrings",243.26,737.15151515,5.45454545,active,2025-10-27,2025-10-27
2025-10-27,"TOF | 80k","T1 - LUXEi","80k DABA",676.96,330.546875,6.54296875,active,2025-10-27,2025-10-27
2025-10-27,"TOF | Story/Reel","T1 | TRL | IGi | RL","Emir Earrings | RL",547.95,102.51637044,0.99158092,active,2025-10-27,2025-10-27
2025-10-27,"TOF | Story/Reel","T1 | TRL | IGi | RL","Qutub Necklace | RL",737.09,69.32098185,0.71475595,active,2025-10-27,2025-10-27
2025-10-27,"TOF | Story/Reel","T1 | TRL | IGi | RL","Nizam Ring | RL",268.19,182.07060421,0.67888663,active,2025-10-27,2025-10-27
2025-10-27,"TOF | New Arrivals","T1 - TRLi - ST SI","Green Room I ST SI 02",319.37,91.40526617,0.45792788,active,2025-10-27,2025-10-27
2025-10-27,"TOF | Story/Reel","T1 | TRL | IGi | RL","Revival Necklace I RL",486.07,115.5383884,0.40408842,active,2025-10-27,2025-10-27
2025-10-27,"TOF | Story/Reel","T1 | TRL | IGi | RL","Felix Earrings I RL",395.99,70.31072443,0.46164773,active,2025-10-27,2025-10-27
2025-10-27,"TOF | Story/Reel","T1 | TRL | IGi | RL","Firdos Earrings I RL",422.96,59.96030621,0.69464134,active,2025-10-27,2025-10-27
2025-10-27,"TOF | ALL","T1 - TRLi - FEED","DABA – ALL",4006.8,86.87394302,1.7497073,active,2025-10-27,2025-10-27
2025-10-27,"TOF | ALL","T1 - FB - TRLi","DABA – ALL",1557.77,40.8852786,1.60363245,active,2025-10-27,2025-10-27
2025-10-27,"TOF | ALL","T2 -  TRLi","DABA – ALL",3794.83,69.00820134,1.10927243,active,2025-10-27,2025-10-27
2025-10-27,"TOF | New Arrivals","T1 - TRLi - ST SI","Green Room I ST SI 03",43.59,73.01507538,,active,2025-10-27,2025-10-27
2025-10-27,"TOF | New Arrivals","T1 - INT JWLi - FEED SI","Green Room I FEED SI 02",225.94,77.32375086,0.27378508,active,2025-10-27,2025-10-27
2025-10-27,"TOF | CUSTOM | AUTO","T2 - INT JWLi","CC – BS /TP | 02",268.38,30.53242321,0.3185438,active,2025-10-27,2025-10-27
2025-10-27,"TOF | New Arrivals","T1 - INT JWLi - FEED DABA","Green Room I FEED DABA",68.84,79.21749137,1.26582278,active,2025-10-27,2025-10-27
2025-10-27,"BOF | DPA","VC & ATC_14 Days - IG",DPA,1033.58,118.39404353,5.87628866,active,2025-10-27,2025-10-27
2025-10-27,"BOF | DPA","VC & ATC_14 Days - FB",DPA,743.12,162.35962421,5.81166703,active,2025-10-27,2025-10-27
2025-10-27,"BOF | DPA","VC & ATC_60 Days - IG",DPA,850.93,91.3309005,3.84243855,active,2025-10-27,2025-10-27
2025-10-27,"TOF | New Arrivals","T1 - TRLi - KHB 25 - FEED DABA","KHB 25 I FEED DABA",1055.44,156.13017751,1.46449704,active,2025-10-27,2025-10-27
2025-10-27,"TOF | New Arrivals","T1 - INT JWLi - KHB 25 - FEED DABA","KHB 25 I FEED DABA",986.03,146.10016299,1.21499481,active,2025-10-27,2025-10-27
2025-10-27,"TOF | New Arrivals","T1 - INT JWLi - FEED DABA","Green Room I FEED DABA COL",405.07,97.09252157,1.58197507,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | New Arrivals | RL SV","Green Room I RL SV 01",208.66,204.76938175,1.4720314,active,2025-10-27,2025-10-27
2025-10-27,"TOF | New Arrivals","T1 - INT JWLi - FEED SI","Green Room I FEED SI 01",243.31,69.77631202,0.31545741,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | New Arrivals | RL SV","Green Room I RL SV 02",195.19,297.54573171,1.98170732,active,2025-10-27,2025-10-27
2025-10-27,"TOF | New Arrivals","T1 - INT JWLi - ST SV","Green Room I ST SV 03",158.3,251.66931638,0.95389507,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | New Arrivals","Green Room | CC",564.14,305.93275488,0.59652928,active,2025-10-27,2025-10-27
2025-10-27,"TOF | New Arrivals","T1 - INT JWLi - ST SV","Green Room I ST SV 02",291.33,141.55976676,2.23517979,active,2025-10-27,2025-10-27
2025-10-27,"TOF | New Arrivals","T1 - TRLi - FEED SV","Green Room I FEED SV 02",498.01,84.52308215,0.64494229,active,2025-10-27,2025-10-27
2025-10-27,"TOF | New Arrivals","T1 - TRLi - RL SV","Green Room I RL SV 03",113.53,59.40868655,0.31397174,active,2025-10-27,2025-10-27
2025-10-27,"TOF | New Arrivals","T1 - TRLi - RL SV","Green Room I RL SV 05",367.54,49.79542067,0.74515648,active,2025-10-27,2025-10-27
2025-10-27,"TOF | ALL","IND - TRLi","DABA – ALL",1989.71,31.75406958,1.06607086,active,2025-10-27,2025-10-27
2025-10-27,"TOF | CUSTOM | AUTO","T1 - INT JWLi","CC – BS /TP | 02",286.76,43.23232323,0.37690336,active,2025-10-27,2025-10-27
2025-10-27,"BOF | DPA","VC & ATC_1 Day - IG",DPA,592.36,465.6918239,8.96226415,active,2025-10-27,2025-10-27
2025-10-27,"BOF | DPA","VC & ATC_60 Days - IGi",DPA,722.51,94.05233012,3.6318667,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | DABA | IGi","MOF | DABA 2",370.53,436.43109541,5.41813899,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | DABA | IGi","MOF | DABA 1",856.83,360.61868687,5.89225589,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | DABA | ENGDi","MOF | DABA 2",384.85,101.38303477,4.056902,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | DABA | ENGDi","MOF | DABA 1",912.35,117.90514345,3.99327992,active,2025-10-27,2025-10-27
2025-10-27,"BOF | DPA","VC & ATC_180 Days - FBi",DPA,1079.04,123.8994144,3.27247675,active,2025-10-27,2025-10-27
2025-10-27,"BOF | DPA","VC & ATC_180 Days - IGi",DPA,481.79,69.81451963,1.50702797,active,2025-10-27,2025-10-27
2025-10-27,"BOF | DPA","VC & ATC_14 Days - IGi",DPA,766.82,213.53940407,4.59482038,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | HYDi","Juliet Ring | SV",68.32,230.03367003,0.33670034,active,2025-10-27,2025-10-27
2025-10-27,"BOF | DPA","VC & ATC_1 Day - IGi",DPA,563.53,774.07967033,8.51648352,active,2025-10-27,2025-10-27
2025-10-27,"TOF | All That Grace","ARL | IGi","Mix Match Pearls I SI",129.96,307.96208531,1.42180095,active,2025-10-27,2025-10-27
2025-10-27,"TOF | 80k","LUXE | IGi","80k CC",511.47,161.1436673,1.26023945,active,2025-10-27,2025-10-27
2025-10-27,"TOF | All That Grace","ARL | IGi","Debbie Earrings | SV",423.25,313.05473373,2.14497041,active,2025-10-27,2025-10-27
