Campaign name,Ad set name,Ad name,Day,Amount spent (INR),"CPM (cost per 1,000 impressions)",CTR (link click-through rate),Ad set delivery,Reporting starts,Reporting ends
TOF | 80k,OCC – IG,80k DABA,2024-12-31,278.53,106.79831288,3.37423313,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,MAG | IG | ST,Sapphires I ST,2024-12-31,462.54,93.31047004,2.38047206,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,LUXE | IGi | RL,Thea Earrings I RL,2024-12-31,726.9,79.43394165,0.68844935,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,LUXE | IGi | RL,Emily Necklace I RL,2024-12-31,12.11,22.13893967,0.18281536,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,MAG | IG | ST,Revival Necklace I ST,2024-12-31,54.04,123.09794989,0.6833713,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,MAG | IG | ST,Emily Necklace I ST,2024-12-31,21.51,55.29562982,0.51413882,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,MAG | IG | ST,Thea Earrings I ST,2024-12-31,398.43,116.22812135,2.01283547,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,MAG | IG | ST,Nizam Ring I ST,2024-12-31,77.66,107.71151179,1.10957004,inactive,2024-12-31,2024-12-31
TOF | KHB |,LUXE | IGi,Hyderabad Choker | SV,2024-12-31,227.67,413.94545455,0.54545455,inactive,2024-12-31,2024-12-31
TOF | KHB |,LUXE | IGi,Aviva Stylised | SV,2024-12-31,369.34,207.26150393,0.50505051,inactive,2024-12-31,2024-12-31
TOF | All That Grace,BRD | IG,Jasmine Ring | SV,2024-12-31,25.51,622.19512195,2.43902439,inactive,2024-12-31,2024-12-31
TOF | All That Grace,BRD | IG,Meera Suit Look | SV,2024-12-31,10.85,493.18181818,,inactive,2024-12-31,2024-12-31
TOF | All That Grace,ARL | IGi,Meera Suit Look | SV,2024-12-31,0.88,293.33333333,,active,2024-12-31,2024-12-31
TOF | All That Grace,ARL | IGi,Jasmine Ring | SV,2024-12-31,6.1,234.61538462,,active,2024-12-31,2024-12-31
TOF | 80k,OCC – IG,80k DABA,2024-12-31,98.1,145.76523031,3.56612184,inactive,2024-12-31,2024-12-31
MOF,MOF | DEL,Juliet Ring | SV,2024-12-31,203.28,97.82483157,1.63618864,inactive,2024-12-31,2024-12-31
TOF | 80k,OCC – IG,80k DABA | Rings,2024-12-31,62.92,181.32564841,6.34005764,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,LUXE | IGi | RL,Revival Necklace I RL,2024-12-31,78.1,70.61482821,0.45207957,inactive,2024-12-31,2024-12-31
TOF | KHB |,LUXE | IGi,Qutub Necklace | SV,2024-12-31,317.2,191.77750907,1.45102781,inactive,2024-12-31,2024-12-31
TOF | 80k,LUXE | IGi,80k CC,2024-12-31,260.87,618.17535545,3.08056872,active,2024-12-31,2024-12-31
TOF | 80k,OCC – IG,80k DABA | Earrings,2024-12-31,226.58,140.73291925,0.99378882,inactive,2024-12-31,2024-12-31
TOF | ALL,MAG - IG,DABA – BS /TP 2,2024-12-31,392.73,23.47038786,1.84665033,inactive,2024-12-31,2024-12-31
MOF,MOF | DABA,MOF | DABA 1,2024-12-31,658.58,150.36073059,5.59360731,inactive,2024-12-31,2024-12-31
TOF | CUSTOM | AUTO,TIFF - IG,CC,2024-12-31,0.79,31.6,,inactive,2024-12-31,2024-12-31
MOF,MOF | DABA,MOF | DABA 2,2024-12-31,1223.1,211.24352332,5.83765112,inactive,2024-12-31,2024-12-31
TOF | ALL,MAG - IG,DABA,2024-12-31,538.66,42.75758057,2.46864582,inactive,2024-12-31,2024-12-31
TOF | India Modern,JWLY + TRL - FB,India Modern DABA,2024-12-31,313.35,106.00473613,6.90121786,inactive,2024-12-31,2024-12-31
TOF | CUSTOM | AUTO,C-OCC,CC,2024-12-31,693.08,147.62087327,3.32268371,inactive,2024-12-31,2024-12-31
TOF | KHB |,LUXE | IGi,Aviva | SV,2024-12-31,21.95,249.43181818,,inactive,2024-12-31,2024-12-31
TOF | ALL,INT JWLY - IG,DABA,2024-12-31,599.61,72.53054312,4.2820854,inactive,2024-12-31,2024-12-31
TOF | KHB |,INT JWLY | IG,Mansa Necklace | SI,2024-12-31,381.95,96.13642084,3.32242638,inactive,2024-12-31,2024-12-31
TOF | KHB |,INT JWLY | IG,Qutub Necklace | SI,2024-12-31,188.81,89.39867424,2.36742424,inactive,2024-12-31,2024-12-31
TOF | KHB |,INT JWLY | IGi,KHB | DABA (1),2024-12-31,915.84,174.01482044,9.42428273,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,LUXE | IGi | RL,Amey Ring | RL,2024-12-31,45.79,21.90909091,0.57416268,inactive,2024-12-31,2024-12-31
TOF | KHB |,INT JWLY | IGi,KHB | DABA,2024-12-31,8.68,482.22222222,,inactive,2024-12-31,2024-12-31
TOF | India Modern,INT JWLY - IG,India Modern DABA,2024-12-31,845.23,70.16103594,2.98829584,inactive,2024-12-31,2024-12-31
TOF | 80k,OCC – IG,80k DABA | Earrings,2024-12-31,27.75,241.30434783,0.86956522,inactive,2024-12-31,2024-12-31
TOF | ALL,HOME - IG,DABA – BS /TP,2024-12-31,169.39,34.82524671,2.81661184,inactive,2024-12-31,2024-12-31
TOF | CUSTOM | AUTO,TIFF - IG,Amey Ring | SV,2024-12-31,3.49,24.92857143,,inactive,2024-12-31,2024-12-31
TOF | India Modern,JWLY + TRL - FBi,India Modern DABA,2024-12-31,351.84,203.37572254,5.60693642,inactive,2024-12-31,2024-12-31
TOF | All That Grace,ARL | IGi,Debbie Earrings | SV,2024-12-31,86.01,73.2,1.19148936,active,2024-12-31,2024-12-31
TOF | India Modern,C-OCC - IG,India Modern DABA,2024-12-31,713.43,85.68700456,4.4198895,inactive,2024-12-31,2024-12-31
TOF | All That Grace,ARL | IGi,Jackie Necklace | SV,2024-12-31,47.37,52.40044248,0.77433628,active,2024-12-31,2024-12-31
BOF | DPA,VC & ATC_1 Day - IG,DPA,2024-12-31,1207.18,198.54934211,9.21052632,active,2024-12-31,2024-12-31
TOF | Earrings,OCC,Felix Earrings | CV,2024-12-31,0.74,18.04878049,4.87804878,inactive,2024-12-31,2024-12-31
TOF | All That Grace,ARL | IGi,All that grace (1) | CI,2024-12-31,75.29,89.52437574,3.09155767,active,2024-12-31,2024-12-31
TOF | All That Grace,BRD | IG,Jackie Multilayered Necklace | SV,2024-12-31,0.01,1.11111111,,inactive,2024-12-31,2024-12-31
BOF | DPA,VC & ATC_60 Days - FB,DPA,2024-12-31,447.62,38.12776831,3.36456559,active,2024-12-31,2024-12-31
TOF | All That Grace,BRD | IG,Debbie Earrings | SV,2024-12-31,150.73,139.82374768,1.2987013,inactive,2024-12-31,2024-12-31
TOF | India Modern,HOME - IG,India Modern DABA,2024-12-31,733.39,88.74515973,3.09777348,inactive,2024-12-31,2024-12-31
TOF | All That Grace,BRD | IG,Jackie Necklace | SV,2024-12-31,106.93,54.03233957,1.51591713,inactive,2024-12-31,2024-12-31
TOF | Earrings,TRL,Earrings | DABA,2024-12-31,415.03,38.47858335,3.50454293,inactive,2024-12-31,2024-12-31
TOF | Earrings,TRL,Ira Earrings | CV,2024-12-31,25.72,19.10846954,5.42347697,inactive,2024-12-31,2024-12-31
MOF,MOF | MUM,RV | CC,2024-12-31,271.47,448.7107438,1.81818182,inactive,2024-12-31,2024-12-31
TOF | India Modern,INT JWLY - IGi,India Modern DABA,2024-12-31,382.89,182.67652672,6.10687023,inactive,2024-12-31,2024-12-31
TOF | Earrings,TRL,Felix Earrings | CV,2024-12-31,23.72,15.06988564,3.55781449,inactive,2024-12-31,2024-12-31
MOF,MOF | KHB,Cutch Tassel | SI,2024-12-31,39.35,101.94300518,,inactive,2024-12-31,2024-12-31
MOF,MOF | KHB,Zeya Necklace | SV,2024-12-31,197.67,134.01355932,1.49152542,inactive,2024-12-31,2024-12-31
TOF | KHB |,OCC | IG,KHB | DABA,2024-12-31,8.58,330.0,7.69230769,inactive,2024-12-31,2024-12-31
TOF | ALL,TIFF - IG,DABA – BS /TP,2024-12-31,305.86,67.1334504,3.02897278,inactive,2024-12-31,2024-12-31
MOF,MOF | KHB,ida and ineya | SV,2024-12-31,102.97,119.31633835,0.57937428,inactive,2024-12-31,2024-12-31
TOF | Earrings,OCC,Earrings | DABA,2024-12-31,423.43,67.6297716,3.41798435,inactive,2024-12-31,2024-12-31
TOF | Earrings,OCC,Ira Earrings | CV,2024-12-31,49.31,28.92082111,3.92961877,inactive,2024-12-31,2024-12-31
MOF,MOF | BLR,Juliet Ring | SV,2024-12-31,237.08,102.01376936,1.89328744,inactive,2024-12-31,2024-12-31
MOF,MOF | DEL,RV | CC,2024-12-31,225.08,311.31396957,2.0746888,inactive,2024-12-31,2024-12-31
TOF | ALL,TIFF - IG,DABA,2024-12-31,1069.58,42.84318045,3.91748448,inactive,2024-12-31,2024-12-31
BOF | DPA,VC & ATC_14 Days - IG,DPA,2024-12-31,1478.67,83.60680764,6.2931132,active,2024-12-31,2024-12-31
TOF | ALL,INT JWLY - IG,DABA – BS /TP,2024-12-31,337.35,43.31664099,3.44119158,inactive,2024-12-31,2024-12-31
TOF | KHB |,INT JWLY | IG,Sikar Necklace | SI,2024-12-31,143.18,123.00687285,1.71821306,inactive,2024-12-31,2024-12-31
TOF | KHB |,INT JWLY | IG,Zeya Necklace | SI,2024-12-31,19.57,292.08955224,,inactive,2024-12-31,2024-12-31
BOF | DPA,VC & ATC_60 Days - IG,DPA,2024-12-31,517.25,45.84736749,4.14820067,active,2024-12-31,2024-12-31
TOF | KHB |,OCC | IG,KHB | DABA (1),2024-12-31,914.81,165.42676311,4.30379747,inactive,2024-12-31,2024-12-31
BOF | DPA,VC & ATC_14 Days - FB,DPA,2024-12-31,686.5,69.19665356,6.26952928,active,2024-12-31,2024-12-31
MOF,MOF | KHB,Sikar Necklace Model | SI,2024-12-31,118.14,66.33352049,2.35822572,inactive,2024-12-31,2024-12-31
TOF | India Modern,INT JWLY - IG,DABA – BS /TP 1,2024-12-31,146.16,71.47188264,2.05378973,inactive,2024-12-31,2024-12-31
TOF | KHB |,INT JWLY | IG,Tanjore Bracelet | SI,2024-12-31,202.02,251.26865672,0.37313433,inactive,2024-12-31,2024-12-31
TOF | India Modern,INT JWLY - IGi,DABA – BS /TP 1,2024-12-31,94.57,225.70405728,4.77326969,inactive,2024-12-31,2024-12-31
TOF | 80k,OCC – IG,80k DABA | Rings,2024-12-31,107.43,105.22037218,1.17531832,inactive,2024-12-31,2024-12-31
TOF | All That Grace,BRD | IG,All that grace (2) | SI,2024-12-31,0.38,76.0,,inactive,2024-12-31,2024-12-31
TOF | CUSTOM | AUTO,TIFF - IG,Arka Necklace | SV,2024-12-31,5.6,24.66960352,0.44052863,inactive,2024-12-31,2024-12-31
TOF | All That Grace,BRD | IG,All that grace (1) | SI,2024-12-31,95.55,434.31818182,4.54545455,inactive,2024-12-31,2024-12-31
TOF | India Modern,C-OCC - IG,DABA – BS /TP 1,2024-12-31,273.95,74.44293478,3.55978261,inactive,2024-12-31,2024-12-31
TOF | All That Grace,BRD | IG,All that grace (4) | SI,2024-12-31,86.99,71.24488124,0.24570025,inactive,2024-12-31,2024-12-31
TOF | CUSTOM | AUTO,TIFF - IG,Qutab Necklace | SV,2024-12-31,51.69,23.03475936,0.57932264,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,LUXE | IGi | RL,Emir Photo Locket I RL | IG Post - 30 Oct 2024,2024-12-31,29.8,12.87257019,0.17278618,inactive,2024-12-31,2024-12-31
TOF | CUSTOM | AUTO,TIFF - IG,MARRAKESH | SI,2024-12-31,133.3,125.39981185,1.12888053,inactive,2024-12-31,2024-12-31
TOF | All That Grace,BRD | IG,All that grace | SV,2024-12-31,0.03,4.28571429,,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,MAG | IG | ST,Emir Photo Locket I ST | IG Post - 30 Oct 2024,2024-12-31,310.62,48.9627995,2.01765448,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,MAG | IG | ST,Aviva | ST,2024-12-31,41.26,86.68067227,3.1512605,inactive,2024-12-31,2024-12-31
TOF | CUSTOM | AUTO,TIFF - IG,IRA | SI,2024-12-31,290.41,32.39375349,2.30897936,inactive,2024-12-31,2024-12-31
TOF | ALL,OCC - IG,DABA – BS /TP 2,2024-12-31,194.01,25.66269841,1.66666667,inactive,2024-12-31,2024-12-31
TOF | CUSTOM | AUTO,TIFF - IG,DEW DROP | SI,2024-12-31,43.58,24.14404432,0.16620499,inactive,2024-12-31,2024-12-31
TOF | India Modern,JWLY + TRL - FBi,DABA – BS /TP 1,2024-12-31,167.69,220.35479632,8.27858081,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,MAG | IG | ST,Anah Necklace | ST,2024-12-31,231.05,375.08116883,2.43506494,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,MAG | IG | ST,Amey Ring | ST,2024-12-31,148.42,508.28767123,0.68493151,inactive,2024-12-31,2024-12-31
TOF | ALL,OCC - IG,DABA,2024-12-31,255.25,49.71756915,2.16205688,inactive,2024-12-31,2024-12-31
TOF | CUSTOM | AUTO,TIFF - IG,ARKA STYLISED | SI,2024-12-31,19.88,66.26666667,0.66666667,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,LUXE | IGi | RL,Fragile Frescoes 1 I RL,2024-12-31,239.29,136.42531357,0.34207526,inactive,2024-12-31,2024-12-31
TOF | Story/Reel,MAG | IG | ST,Fragile Frescoes 1 I ST,2024-12-31,150.07,289.1522158,1.92678227,inactive,2024-12-31,2024-12-31
MOF,MOF | BLR,RV | CC,2024-12-31,258.74,419.35170178,1.13452188,inactive,2024-12-31,2024-12-31
