"Day","UTM campaign","UTM term","UTM content","Landing page URL","Online store visitors","Sessions that completed checkout","Sessions that reached checkout","Sessions with cart additions","Average session duration","Pageviews"
"2025-10-28","TOF | 80k","T1 - LUXEi","80k DABA | Earrings","https://vibewithmoi.in/products/faye-gold-diamond-and-muti-sapphire-earrings?variant=40194838167615&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+80k&utm_content=80k+DABA+%7C+Earrings&utm_term=T1+-+LUXEi&placement=Instagram_Feed&utm_id=120231911410550313_v2_s08_e7286&fbclid=PAZXh0bgNhZW0BMABhZGlkAaspds6GVnkBp1Lzlt2kbITB7OBDS-gfDeGyDcc0nutuzaHXdLuSQ-Ybe7xs3YI7MIXhDuoJ_aem_yVr-ip-XiZJD4EY_Q0iDIw&campaign_id=120214656592760313&ad_id=120231911410560313",1,0,0,0,0,1
"2025-10-28","BOF | DPA","VC & ATC_60 Days - FB","DPA","https://vibewithmoi.in/products/paris-champagne-diamond-ring?variant=32852608090175&utm_source=fb&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_60+Days+-+FB&placement=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasnqSZ9k0kBHjSmJtsdYLsi3MP2loStw7MHXh5PGqyr_LBJQS1IEGOvKAVGyub4bZXLsPaU_aem_5T2rEo4lsaqi6K8NbslJHg&brid=5T2rEo4lsaqi6K8NbslJHg&campaign_id=23856507113650312&ad_id=23856527722120312&utm_id=23856507177670312_v2_s17_e314",1,0,0,0,21,3
"2025-10-28","BOF | DPA","VC & ATC_180 Days - FBi","DPA","https://vibewithmoi.in/products/love-gold-and-diamond-medallion-necklace?variant=40145610440767&utm_source=fb&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_180+Days+-+FBi&placement=Facebook_Mobile_Feed&fbclid=IwZXh0bgNhZW0BMABhZGlkAasnqbLGDQkBHm2E7IcGrsFPlO28i-OgBz_V4SD5qZAetwOaDxZY0rYbnw3SDsSRH1TgsTVY_aem_VU7NKhbKRlarB70l3h4FSQ&campaign_id=120224750628680313&ad_id=120224913158110313&utm_id=120224913158120313_v2_s17_e314",1,0,0,0,66,3
"2025-10-28","MOF","MOF | DABA | ENGDi","MOF | DABA 1","https://vibewithmoi.in/products/thea-gold-silver-diamond-emerald-and-blue-enamel-choker-necklace?variant=41540875026495&utm_source=ig&utm_medium=paid&utm_campaign=MOF&utm_content=MOF+%7C+DABA+1&utm_term=MOF+%7C+DABA+%7C+ENGDi&placement=Instagram_Reels&utm_id=120225067040140313_v2_s12&fbclid=PAZXh0bgNhZW0BMABhZGlkAasgECO16pkBp8ZI8NTNblmS_ZC7DaM5uQgqFTJ8WSOTKcCm7tLFWni6qHPLD1B6sSg4oXN1_aem_ipkOj4hCdK_mc4_00OgLPQ&campaign_id=120210400976700313&ad_id=120225067040130313",1,0,0,0,0,1
"2025-10-28","MOF","MOF | New Arrivals","Green Room | CC","https://vibewithmoi.in/pages/the-green-room?utm_source=ig&utm_medium=paid&utm_campaign=MOF&utm_content=Green+Room+%7C+CC&utm_term=MOF+%7C+New+Arrivals&placement=Instagram_Feed&utm_id=120233519912460313_v2_s11_e7274&fbclid=PAZXh0bgNhZW0BMABhZGlkAasofjwVKZkBp0D2PNTNVgj9tDwNvM1iIhgbfvhbC-XGNtEV64xMITcda_Zmcm5Lt--tgisP_aem_THsHOMskEHVu-gRXTTYaDg&campaign_id=120210400976700313&ad_id=120233519912440313",1,0,0,0,963,21
"2025-10-28","TOF | ALL","IND - TRLi","DABA – ALL","https://vibewithmoi.in/products/chicago-gold-diamond-and-pearl-mini-hoop-earrings?variant=40962400223295&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=IND+-+TRLi&placement=Instagram_Feed&utm_id=120231849970730313_v2_s17_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmPdRyvnkBpzbwMmri_AW5beT1hj84Dn2UhymT0ohO10yd7pO1bFSkhKmj3uLWtCqVFi29_aem_Y1roOAzBEm3EqDC52i8zqQ&campaign_id=120204934414040313&ad_id=120231849970700313",1,0,0,0,0,1
"2025-10-28","TOF | India Modern","TOF | Mumbai | TIFFi","DABA – BS /TP 1","https://vibewithmoi.in/products/emily-gold-diamond-emerald-and-south-sea-pearl-necklace?variant=39711974850623&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+India+Modern&utm_content=DABA+%E2%80%93+BS+%2FTP+1&utm_term=TOF+%7C+Mumbai+%7C+TIFFi&placement=Instagram_Feed&utm_id=120228725520430313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasoDkw-FPkBp_UeZ_B1y39ix4PBsgiuAPdmmrCU3WAk7bZI2VVLDako1U0Zi9ZwaQt0fzDM_aem_rnujw5pYzEhou2Tr1tQ6GA&campaign_id=120228725469310313&ad_id=120228726653470313",1,0,0,0,0,1
"2025-10-28","BOF | DPA","VC & ATC_60 Days - IGi","DPA","https://vibewithmoi.in/products/ira-diamond-and-pearl-earrings?variant=39668305133631&utm_source=ig&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_60+Days+-+IGi&placement=Instagram_Feed&utm_id=120224751330040313_v2_s07&fbclid=PAZXh0bgNhZW0BMABhZGlkAashaN4a5ikBp56LkaHWuu-g-0PAK0uVbvHIaq_lInUQtJc1ygn5d3lLBSEsU4hla3Q-BHga_aem_VlGEazP4Rc2cEaaz7Llbcg&campaign_id=120224750628680313&ad_id=120224751330060313",1,0,0,0,0,1
"2025-10-28","TOF | ALL","T1 - TRLi - FEED","DABA – ALL","https://vibewithmoi.in/products/amalfi-gold-diamond-tanzanite-and-blue-topaz-cocktail-ring?variant=40729419481151&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T1+-+TRLi+-+FEED&placement=Instagram_Feed&utm_id=120231904201750313_v2_s05_e7409&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmR7SKXSkBp_8fHovjlI-18XryoXuuzgDNpGCWadcjHKJ7FRg_EiFs1nGo7MrCyK0DV3u2_aem_hI8Uy4XTIvlNg-TsSNpfgw&campaign_id=120204934414040313&ad_id=120231904201740313",1,0,0,0,0,1
"2025-10-28","TOF | Story/Reel","T1 | TRL | IGi | RL","Nizam Ring | RL","https://vibewithmoi.in/products/nizam-emerald-and-ruby-ring?utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+Story%2FReel&utm_content=Nizam+Ring+%7C+RL&utm_term=T1+%7C+TRL+%7C+IGi+%7C+RL&placement=Instagram_Reels&utm_id=120231907497290313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmSJzs33kBpzPmzA044Mr-R6abWuNhVwGQkOyasF-VYKGr2gJKKFlpae1Moc5uqruRlqPC_aem_e_wKezSpec4Sh7nOw6zsEA&campaign_id=120213378493220313&ad_id=120231908221000313",1,0,0,0,0,1
